0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,3,5,3
0,0,0,2,0,0,3,5,9,5
0,0,4,4,0,0,5,9,5,0
0,2,3,0,0,0,0,5,3,0
0,3,5,3,0,0,0,0,0,0
3,5,9,5,3,0,0,0,0,0
0,3,5,3,2,0,0,0,0,0
0,0,3,0,0,3,0,0,0,0
0,0,0,0,0,0,0,0,0,0
69,68,69,69,68,69,68,69,69,69
67,69,67,67,69,69,69,67,67,67
0,67,0,0,67,67,67,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,79,69,0,0,0,0
0,0,0,79,69,78,68,0,0,0
0,0,79,69,78,68,77,67,0,0
0,79,69,78,68,77,67,76,66,0
0,79,69,78,68,77,67,76,66,0
79,69,78,62,77,67,76,66,75,65
79,69,62,62,62,67,76,66,75,65
79,69,62,62,62,67,76,66,75,65
70,70,62,62,62,67,76,66,70,70
0,0,70,70,70,70,70,70,0,0
0,28,29,27,26,28,26,24,24,0
29,27,26,28,79,78,25,23,23,22
26,78,77,78,78,77,76,75,75,74
0,28,27,26,26,76,25,26,24,0
27,26,25,77,27,28,26,24,22,22
78,79,78,0,76,77,77,75,73,74
77,0,0,75,0,0,73,0,0,0
0,26,27,28,26,27,27,25,23,0
24,25,26,25,24,26,26,24,22,21
0,76,0,0,76,0,77,76,0,0
0,0,4,4,0,2,0,4,0,0
0,4,0,0,4,0,4,0,4,0
4,0,0,4,0,4,3,0,0,4
0,4,0,3,4,0,4,3,0,0
4,3,0,3,0,4,0,4,4,0
0,0,4,0,4,3,4,0,3,0
0,4,0,0,0,3,0,4,0,4
0,0,4,4,4,0,0,4,0,0
0,0,4,0,4,4,3,0,4,0
0,3,0,4,0,0,4,4,0,0
