21,20,26,20,21,20,20,21,26,22
20,28,27,24,20,21,27,28,25,20
29,27,29,25,74,25,20,24,73,21
20,74,28,76,24,22,21,25,76,25
26,22,76,74,23,20,27,73,20,27
20,21,22,75,20,23,22,20,74,20
21,20,74,20,22,21,20,27,73,22
20,22,75,21,21,20,22,21,74,20
22,21,76,24,23,22,21,23,20,22
21,22,23,23,22,21,24,21,23,21
15,15,15,16,16,15,15,15,15,15
15,15,16,17,17,16,15,15,15,15
15,16,17,18,18,17,16,15,16,15
16,17,18,19,19,18,17,16,17,16
17,18,19,18,18,19,18,17,18,17
17,17,18,17,17,18,19,18,17,18
16,16,17,16,15,17,18,19,18,17
15,15,16,17,16,15,17,18,17,16
15,16,17,18,17,16,15,17,16,15
15,15,16,17,16,15,15,16,15,15
71,72,71,71,72,73,72,71,70,70
72,73,72,71,72,73,72,72,71,71
73,74,73,72,73,74,73,72,72,71
72,73,73,73,72,73,72,73,73,72
71,72,73,74,73,72,72,73,74,73
72,73,74,75,74,73,72,72,73,72
73,74,75,74,73,73,72,71,72,71
72,73,74,73,73,74,73,72,71,71
71,72,73,73,74,75,74,73,72,71
70,71,72,72,73,74,73,72,71,71
68,68,67,67,67,68,68,67,67,67
67,67,68,68,68,67,67,68,67,67
67,66,67,67,67,66,66,67,68,68
68,67,67,68,68,67,66,66,67,67
67,68,68,67,67,68,67,66,66,66
66,67,67,66,66,67,68,67,67,66
67,66,66,65,65,66,67,68,68,67
68,67,67,66,66,67,67,67,67,68
67,68,68,67,67,68,68,67,67,67
67,67,67,68,68,67,67,68,68,68
25,25,26,27,26,25,25,26,25,24
25,26,25,26,25,24,26,27,26,25
26,27,26,26,25,25,25,26,25,25
25,26,26,27,26,26,25,25,25,24
24,25,25,26,26,27,26,25,26,25
25,25,26,25,25,26,25,26,27,26
25,26,27,26,25,25,26,25,26,25
26,25,26,25,25,26,27,26,25,25
27,26,26,25,24,25,26,25,25,26
26,26,27,26,25,24,25,25,24,25
6,7,8,7,6,7,8,9,8,7
7,8,9,8,7,8,9,8,9,8
8,8,8,9,8,7,8,7,8,7
9,9,8,8,7,8,9,8,8,7
8,8,8,7,8,9,8,8,9,8
7,8,9,8,7,8,7,8,8,7
7,8,9,8,8,7,8,9,8,7
7,8,8,8,9,8,8,9,8,7
8,9,9,8,8,9,8,8,8,7
7,8,8,7,7,8,7,8,9,8
